title,company,location,job_type,sector,min_salary,max_salary,avg_salary,salary_raw,date_posted,url,source
Accountant,ABNM HR,Abuja,Full Time,"Accounting, Auditing & Finance",150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/accountant-0k78dz,jobberman
Interior Designer,FMR Agency,Abuja,Full Time,Creative & Design,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/interior-designer-qz29xv,jobberman
Government and History Educator,Jewels Leading Lights Academy,Abuja,Full Time,"Research, Teaching & Training",250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/government-and-history-educator-z8pj2g,jobberman
Sociology Educator,Jewels Leading Lights Academy,Abuja,Full Time,"Research, Teaching & Training",250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/sociology-educator-2k0wz6,jobberman
Head of HR & Admin,Greenbox Facilities Limited,Abuja,Full Time,Human Resources,250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/head-human-resources-admin-z8prjr,jobberman
Mathematics Teacher,Jewels Leading Lights Academy,Abuja,Full Time,"Research, Teaching & Training",250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/maths-teacher-j6qxmg,jobberman
English Teacher,Jewels Leading Lights Academy,Abuja,Full Time,"Research, Teaching & Training",250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/english-teacher-x8pkdz,jobberman
Driver,Greenbox Facilities Limited,Abuja,Full Time,Driver & Transport Services,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/driver-ervpx9,jobberman
Geography Teacher,Jewels Leading Lights Academy,Abuja,Full Time,"Research, Teaching & Training",250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/geography-teacher-45n6jp,jobberman
Home Economics Teacher,Jewels Leading Lights Academy,Abuja,Full Time,"Research, Teaching & Training",250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/home-economics-teacher-9kjn0j,jobberman
School Counselor,Jewels Leading Lights Academy,Abuja,Full Time,"Research, Teaching & Training",250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/school-counselor-0k79pw,jobberman
Biology Teacher,Jewels Leading Lights Academy,Abuja,Full Time,"Research, Teaching & Training",250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/biology-teacher-7jw0v8,jobberman
Physics Teacher,Jewels Leading Lights Academy,Abuja,Full Time,"Research, Teaching & Training",250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/physics-teacher-ervpg6,jobberman
Marketer,Strong Global Ventures Ltd,Abuja,Full Time,Marketing & Communications,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/marketers-m0gjww,jobberman
Accountant,Strong Global Ventures Ltd,Abuja,Full Time,"Accounting, Auditing & Finance",70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/accountant-x8pk7m,jobberman
Front Desk Staff,Brows by Previv Beauty,Abuja,Full Time,Admin & Office,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/front-desk-staff-x8pww0,jobberman
Chemistry Teacher,Jewels Leading Lights Academy,Abuja,Full Time,"Research, Teaching & Training",250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/chemistry-teacher-5pdr7e,jobberman
Program & Partnerships Officer,Work in Nigeria Recruitment Agency,Abuja,Full Time,Product & Project Management,400000.0,600000.0,500000.0,"NGN 400,000 - 600,000",,https://www.jobberman.com/listings/program-partnerships-officer-9kjrr6,jobberman
Driver,Hec Recruit,Abuja,Full Time,Driver & Transport Services,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/professional-driver-j6q5ng,jobberman
SAP Project Director,Melos Consulting,Abuja,Full Time,Product & Project Management,3000000.0,4000000.0,3500000.0,"NGN 3,000,000 - 4,000,000",,https://www.jobberman.com/listings/sap-project-director-gmwmkq,jobberman
Account Officer,Chem Health and Diagnostics Centre,Abuja,Full Time,"Accounting, Auditing & Finance",150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/account-officer-qz2wmw,jobberman
Personal Assistant,Incubax Technologies Limited,Abuja,Full Time,Admin & Office,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/personal-assistant-vde92j,jobberman
Inventory Officer,Castville Solutions,Abuja,Full Time,Medical & Pharmaceutical,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/pharmacy-technician-inventory-officer-z8pzqd,jobberman
Human Resources Officer,Rekrut Consulting,Abuja,Full Time,Human Resources,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/human-reources-officer-7jwprj,jobberman
Business Development Manager,Zagus Power Systems Limited,Abuja,Full Time,Management & Business Development,400000.0,600000.0,500000.0,"NGN 400,000 - 600,000",,https://www.jobberman.com/listings/business-development-manager-45n0m2,jobberman
Customer Service Representative,Parceldash Logistics,Abuja,Full Time,Customer Service & Support,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/customer-representative-wrpg8j,jobberman
Telemarketer & CRM Manager,Nimbou Cloud Limited,Abuja,Full Time,Marketing & Communications,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/telemarketer-crm-manager-5pd9k2,jobberman
Chief Marketing Officer & Growth Hacker,Nimbou Cloud Limited,Abuja,Full Time,Marketing & Communications,250000.0,400000.0,325000.0,"NGN 250,000 - 400,000",,https://www.jobberman.com/listings/chief-marketing-officer-growth-hacker-erv9kz,jobberman
Sales Executive,Surfcom Technologies Networks Ltd,Abuja,Full Time,Sales,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/solar-sales-executives-z8pz26,jobberman
Content Creator,TSM House,Abuja,Full Time,Marketing & Communications,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/content-creator-5pdp8r,jobberman
Internship Coordinator,Fisibul Networks International Ltd,Abuja,Full Time,Admin & Office,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/internship-coordinator-9kj5xp,jobberman
